STATE,BUSINESS UNIT,FEEDER NAME,NON-MD SERVICE BAND,CAP (kWh),COMPANY / SOURCE
LAGOS,AKOWONJO BU,11-ADARANIJOINJ-T1-ARIGBANLA,A,464,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ADARANIJOINJ-TI-NYSC,C,557,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ADARANIJOINJ-T1-OYEWOLE,C,488,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AGEGEINJ-T1-OKO OBA,C,538,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AGEGEINJ-T2-ABULE EGBA,C,499,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AGEGEINJ-T2-ORILE AGEGE,D,502,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AGEGEINJ-T2-POWER LINE,C,391,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AGEGEINJ-T3-PEN CINEMA,C,485,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AGEGEINJ-T3-TABON TABON,D,488,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AIYETOROINJ-T1-BADA,B,419,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AIYETOROINJ-T1-ITELE,C,447,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALAJAINJ-T1-FADAYOMI,C,432,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALIMOSHOINJ-T4-AKOWONJO,A,485,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALIMOSHOINJ-T4-FHA,A,632,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALIMOSHOINJ-T4-OKI,B,605,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALIMOSHOINJ-T6-ORELOPE,A,510,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALIMOSHOINJ-T6-SHASHA,B,487,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALIMOSHOINJ-T8-ALIMOSHO,A,727,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALIMOSHOINJ-T8-OKUNOLA,A,536,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ALIMOSHOINJ-T8-WOLE OMO OSHO,A,616,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AMIKANLEINJ-T1-AIYETOBI,D,480,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AMIKANLEINJ-T1-IGE,C,486,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AMIKANLEINJ-T1-ISOTO,C,368,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AYOBOINJ-T1-AYOBO,C,454,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-AYOBOINJ-T1-IKOLA,A,388,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-EKOROINJ-T1-AJASA,C,357,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-EKOROINJ-T1-EKORO,C,386,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-EKOROINJ-T1-OKE ODO,D,504,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-EKOROINJ-T2-AGBELE,D,375,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-EKOROINJ-T2-OLOTA,C,371,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-HILLTOPINJ-T1-HILLTOP,A- BILATERAL,737,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-IJAIYE OJOKOROINJ-T1-ABEOKUTA EXPRESS,C,322,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-ILAPOINJ-T1-ILAPO,A,348,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-MONGOROINJ-T1-CAPITOL,C,478,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-MONGOROINJ-T1-NEW DOPEMU,A,640,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-MONGOROINJ-T1-SULE,C,454,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-NEW GOWONINJ-T1-KUWAIT,C,459,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-NEW GOWONINJ-T1-OLORUNADABA,A,702,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-NEW GOWONINJ-T1-UNITY,C,682,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-SHASHAINJ-T1-FOURSQUARE,C,465,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-SHASHAINJ-T1-OGUNTADE,B,493,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-SHASHAINJ-T1-ORISUNBARE,C,434,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,11-YUSUFINJ-T2-AGBEFA,C,328,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,33-ALIMOSHOTCN-AGEGE,A,478,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,33-AYOBOTCN-ABULE TAYLOR,B,926,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,33-AYOBOTCN-AMIKANLE,A,948,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,AKOWONJO BU,33-OGBATCN-ABEOKUTA EXP.,B,839,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-ABESANINJ-T1-ABORU,D,266,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-ADEKUNLE FAJUYIINJ-T1-ISAAC JOHN,A- BILATERAL,"1,343",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-ADEKUNLE FAJUYIINJ-T1-ODUDUWA,A- BILATERAL,"1,241",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-ADENIYI JONESINJ-T1-ADENIYI JONES,A,"1,256",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-ADENIYI JONESINJ-T1-AJAO,A,"1,192",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
